##x,sin_x,cos_x,log_x
##x,\sin x,\cos x,\log x
0.01,0.009999833334166664,0.9999500004166653,-4.605170185988091
0.21000000000000002,0.20845989984609958,0.9780309147241483,-1.5606477482646683
0.41000000000000003,0.39860932798442295,0.9171208228166051,-0.8915981192837835
0.6100000000000001,0.5728674601004813,0.8196480178454795,-0.49429632181477995
0.81,0.7242871743701425,0.6894984329517471,-0.21072103131565253
1.01,0.8468318446180152,0.5318607213743555,0.009950330853168092
1.2100000000000002,0.935616001553386,0.3530194012193302,0.19062035960864987
1.4100000000000001,0.9871001010138504,0.16010431155483104,0.343589704390077
1.61,0.9992316344213905,-0.03919363177298771,0.4762341789963717
1.81,0.9715269558223153,-0.23692904868467468,0.5933268452777344
2.01,0.905090563325201,-0.4252188520981522,0.6981347220709843
2.21,0.8025710662467473,-0.5965565217341599,0.7929925155296614
2.41,0.6680555934164909,-0.7441113653915925,0.8796267475025636
2.61,0.5069068522480534,-0.8620008370900635,0.959350221334602
2.81,0.32554933451756,-0.9455250556146959,1.0331844833456545
3.01,0.13121319215018423,-0.9913541739488259,1.1019400787607843
3.21,-0.06835400612104778,-0.9976611297666176,1.1662709371419244
3.41,-0.2651961458717734,-0.9641944846423657,1.2267122912954254
3.61,-0.45146575216142315,-0.8922884481070684,1.2837077723447896
3.81,-0.6197368435949633,-0.7848096869247678,1.3376291891386096
4.01,-0.7633009827670734,-0.6460430401349588,1.3887912413184778
4.21,-0.8764347204918014,-0.4815206960416738,1.43746264769429
4.41,-0.9546277716602164,-0.297801641323633,1.4838746894587547
4.61,-0.9947628260746756,-0.10221017493344206,1.5282278570085572
4.8100000000000005,-0.9952398257691626,0.09745608858848662,1.57069708411767
5.01,-0.9560397542711181,0.2932370853988631,1.6114359150967734
5.21,-0.8787253947281898,0.47732764497752167,1.6505798557652755
5.41,-0.7663790266757844,0.6423886576454144,1.6882490928583902
5.61,-0.6234795452786853,0.7818396617076189,1.724550719534605
5.8100000000000005,-0.4557239019148047,0.8901211856952655,1.75958057086382
6.01,-0.26979998470151617,0.9629163869490754,1.7934247485471162
6.21,-0.0731199935012631,0.9973231505136012,1.8261608959453874
6.41,0.1264750610964027,0.9919697873023459,1.8578592709325787
6.61,0.32102795412328977,0.9470697190130275,1.888583653863595
6.8100000000000005,0.5027824756815727,0.8644129696779825,1.9183921201614211
7.01,0.664492646556282,0.7472948030547435,1.9473377010464987
7.21,0.7997115925405982,0.6003843508588314,1.9754689512968577
7.41,0.9030485609661848,0.4295384692165567,2.0028304393079956
7.61,0.970383833000575,0.2415682442936411,2.0294631718735947
7.8100000000000005,0.999032963836496,0.04396745578341502,2.0554049638515948
8.01,0.9878538030350801,-0.15538617644156488,2.080690761080268
8.21,0.9372920284595976,-0.3485450521612564,2.105352923464337
8.41,0.8493633785054673,-0.5278085365487928,2.1294214739848565
8.61,0.7275732909714597,-0.6860299601802822,2.152924318439639
8.81,0.5767771523167085,-0.8169015341921133,2.175887439948088
9.01,0.40298672872464775,-0.9152058219175658,2.1983350716202463
9.21,0.2131304959564945,-0.9770237416221464,2.2202898502672155
9.41,0.014777422886730236,-0.9998908079249588,2.2417729535972883
9.610000000000001,-0.18416477940067516,-0.9828953830537107,2.262804222982201
9.81,-0.3757649130989423,-0.9267150209658546,2.2834022735772717
